遊戲名稱,發行日期,評價,使用者評論數,價格,遊戲標籤
Tom Clancy's Rainbow Six® Siege,"Dec 1, 2015",Very Positive,"| 1,107,544 User Reviews",NT$ 227.00,"['FPS', 'PvP', 'eSports', 'Multiplayer', 'Shooter', 'Tactical', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'Co-op', 'War', 'Realistic', 'Destruction', 'Difficult', '3D']"
Sword Art Online: Fatal Bullet,"Feb 23, 2018",Very Positive,"| 14,728 User Reviews",NT$ 79.00,"['Anime', 'RPG', 'Character Customization', 'Action', 'Multiplayer', 'JRPG', 'Third-Person Shooter', 'Open World', 'Shooter', 'Third Person', 'Co-op', 'Singleplayer', 'MMORPG', 'Online Co-Op', 'Fantasy', 'Sexual Content', 'Nudity', 'Great Soundtrack', 'Visual Novel', 'FPS']"
Resident Evil 4,"Mar 24, 2023",Overwhelmingly Positive,"| 90,346 User Reviews",NT$ 937.00,"['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Zombies', 'Singleplayer', 'Story Rich', 'Survival', 'Cinematic', 'Dark', 'Realistic', 'Remake', 'Resource Management', 'Gore', 'Adventure', 'Psychological Horror', '3D', 'Third Person', 'Violent', 'Action-Adventure']"
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,"May 13, 2014",Very Positive,"| 10,860 User Reviews",NT$ 352.00,"['Hack and Slash', 'Action', 'Musou', 'Historical', 'Third Person', 'Great Soundtrack', 'Local Co-Op', 'Local Multiplayer', ""Beat 'em up"", 'Multiplayer', 'Singleplayer', 'Action RPG', 'RPG', 'Fighting', 'Adventure', 'Co-op', 'JRPG', 'Strategy', 'Spectacle fighter', 'Casual']"
HELLDIVERS™ 2,"Feb 8, 2024",Mostly Positive,"| 652,348 User Reviews","NT$ 1,190.00","['Online Co-Op', 'Third-Person Shooter', 'Multiplayer', 'PvE', 'Action', 'Shooter', 'Co-op', 'Sci-fi', 'Capitalism', 'Space', 'Third Person', 'Extraction Shooter', 'Comedy', 'Gore', 'Violent', 'Great Soundtrack', 'Difficult', 'Psychological Horror', 'Singleplayer', 'Open World']"
Black Myth: Wukong,"Aug 20, 2024",,,"NT$ 1,280.00","['Mythology', 'Action RPG', 'Action', 'RPG', 'Souls-like', 'Combat', 'Story Rich', 'Dark Fantasy', 'Singleplayer', 'Drama', 'Action-Adventure', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Hentai', 'Nudity', 'Violent', 'FPS']"
Destiny 2,"Oct 1, 2019",Very Positive,"| 607,221 User Reviews",Free To Play,"['Free to Play', 'Open World', 'FPS', 'Multiplayer', 'Looter Shooter', 'MMORPG', 'Co-op', 'PvE', 'PvP', 'Shooter', 'Massively Multiplayer', 'Loot', 'First-Person', 'Sci-fi', 'Action', 'Adventure', 'Lore-Rich', 'Space', 'Competitive', 'Atmospheric']"
Dota 2,"Jul 9, 2013",Very Positive,"| 2,279,686 User Reviews",Free To Play,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']"
Fate/Samurai Remnant,"Sep 29, 2023",Very Positive,"| 3,689 User Reviews","NT$ 1,293.00","['JRPG', 'RPG', 'Anime', 'Action RPG', 'Action', 'Story Rich', 'Spectacle fighter', 'Historical', 'Magic', 'Drama', 'Multiple Endings', 'Singleplayer', 'Stylized', 'Musou', 'Hack and Slash', 'Visual Novel', 'Violent', 'Gore', 'Fantasy', 'Sexual Content']"
V Rising,"May 8, 2024",Very Positive,"| 83,986 User Reviews",NT$ 566.00,"['Survival', 'Open World', 'Base Building', 'Vampire', 'Multiplayer', 'Crafting', 'Online Co-Op', 'PvP', 'PvE', 'Building', 'Hack and Slash', 'Sandbox', 'Exploration', 'Massively Multiplayer', 'Action', 'Singleplayer', 'Action-Adventure', 'Adventure', 'Dark Fantasy', 'Co-op']"
Palworld,"Jan 19, 2024",Very Positive,"| 269,050 User Reviews",NT$ 488.00,"['Open World', 'Multiplayer', 'Survival', 'Creature Collector', 'Open World Survival Craft', 'Crafting', 'Co-op', 'Adventure', 'Sandbox', 'Third-Person Shooter', 'Automation', 'Action', 'Early Access', 'RPG', 'Anime', 'PvE', '3D', 'Indie', 'Looter Shooter', 'Hack and Slash']"
WARRIORS OROCHI 4,"Oct 16, 2018",Very Positive,"| 4,044 User Reviews","NT$ 1,194.00","['Action', 'Hack and Slash', 'Musou', 'Anime', 'Co-op', 'Singleplayer', 'Female Protagonist', 'Historical', 'Fantasy', 'Mythology', 'Action RPG', 'Local Co-Op', 'Multiplayer', 'Adventure', 'JRPG', ""Beat 'em up"", 'Third Person', 'Great Soundtrack', 'Sexual Content']"
流亡黯道,"Mar 1, 2024",Mixed,| 488 User Reviews,Free To Play,"['Action', 'Adventure', 'RPG', 'Action RPG', 'MMORPG', 'Dungeon Crawler', 'Hack and Slash', 'Isometric', 'Dark Fantasy', 'Loot', 'Horror', 'Character Customization', 'Inventory Management', 'PvP', 'Massively Multiplayer', 'Co-op', 'Multiplayer', 'Free to Play', 'Online Co-Op', 'Singleplayer']"
Professional Baseball Spirits 2024-2025,"Sep 18, 2024",,,"NT$ 1,673.00","['Sports', 'Action', 'Baseball', 'Realistic', 'eSports', '3D', 'PvP', 'PvE', 'Simulation', 'Singleplayer', 'Multiplayer', 'Co-op', 'Character Customization', 'Tutorial', 'Local Multiplayer', 'Immersive Sim', 'Choices Matter']"
Overwatch® 2,"Aug 10, 2023",Overwhelmingly Negative,"| 282,375 User Reviews",Free To Play,"['Free to Play', 'Hero Shooter', 'FPS', 'Multiplayer', 'Team-Based', 'PvP', 'First-Person', 'Shooter', 'Dark Humor', 'Action', 'Competitive', 'Co-op', 'Dystopian ', 'PvE', 'Sci-fi', 'Cinematic', 'Lore-Rich', 'Casual', 'MOBA', 'Family Friendly']"
Nioh 2 – The Complete Edition,"Feb 5, 2021",Very Positive,"| 28,618 User Reviews",NT$ 894.00,"['RPG', 'Action', 'Character Customization', 'Souls-like', 'Difficult', 'Co-op', 'JRPG', 'Multiplayer', 'Fantasy', 'Dark Fantasy', 'Historical', 'Story Rich', 'Hack and Slash', 'Violent', 'Singleplayer', 'Dark', 'Medieval', 'Atmospheric', 'Female Protagonist', 'Gore']"
DYNASTY WARRIORS 9 Empires,"Dec 23, 2021",Mixed,"| 1,477 User Reviews","NT$ 1,074.00","['Action', 'Strategy', 'Character Customization', 'Simulation', 'Singleplayer', 'Hack and Slash', 'Historical', 'Musou', 'Open World', 'Sexual Content']"
Black Desert,"Sep 14, 2021",Mostly Positive,"| 55,659 User Reviews",NT$ 20.00,"['MMORPG', 'Massively Multiplayer', 'Open World', 'RPG', 'Character Customization', 'Adventure', 'Fantasy', 'Action', 'Strategy', '3D', 'Medieval', 'Crafting', 'Atmospheric', 'Multiplayer', 'Magic', 'Simulation', 'PvP', 'Cooking', 'War', 'Combat']"
Eternal Return,"Jul 20, 2023",Mostly Positive,"| 57,625 User Reviews",Free To Play,"['Free to Play', 'Anime', 'MOBA', 'Multiplayer', 'Survival', 'PvP', 'Combat', 'Top-Down', 'Crafting', 'Action', 'Strategy', '3D', 'Tactical', 'Character Customization', 'Indie', 'MMORPG', 'Point & Click', 'eSports', 'Real Time Tactics', 'Experimental']"
Overcooked! 2,"Aug 7, 2018",Very Positive,"| 46,072 User Reviews",NT$ 675.00,"['Multiplayer', 'Online Co-Op', 'Local Co-Op', 'Co-op', 'Casual', 'Funny', 'Cooking', '4 Player Local', 'Indie', 'Local Multiplayer', 'Action', 'Family Friendly', 'Cute', 'Controller', 'Comedy', 'Difficult', 'Singleplayer', 'Simulation', 'Strategy', 'Colorful']"
Euro Truck Simulator 2 - Italia,"Dec 5, 2017",Very Positive,"| 1,852 User Reviews",NT$ 159.00,"['Simulation', 'Driving', 'Indie', 'Open World', 'Realistic', 'Multiplayer', 'Singleplayer', 'Relaxing', 'Free to Play', 'Adventure', 'Moddable', 'Exploration', 'Action', 'First-Person']"
